"","Position","Value"
"1",20,0.739595159186362
"2",21,0.726258158727015
"3",22,0.467392865811241
"4",23,0.680813214418317
"5",24,0.817583802040899
"6",25,0.660872697150625
"7",26,0.769248855732604
"8",27,1.38004795308498
"9",28,2.23654103508376
"10",29,3.31467642478871
"11",30,3.96254343193416
"12",31,3.8543091435611
"13",32,3.46576284507245
"14",33,3.16260855337197
"15",34,2.56946887469439
"16",35,2.14681501740221
"17",36,1.80768811430569
"18",37,1.45470192458466
"19",38,1.18429323310743
"20",39,1.04279837762963
"21",40,0.783313844725051
"22",41,0.592158694119439
"23",42,0.42384105040974
"24",43,0.212274401881258
"25",44,0.0650834454114376
"26",45,0.0638889916874823
"27",46,-0.0675358427483294
"28",47,-0.133010233621221
"29",48,-0.0856751109915512
"30",49,-0.157231062256598
"31",50,-0.138047349389298
"32",51,-0.0971272910742959
"33",52,-0.14867505410085
"34",53,-0.0633953030137119
"35",54,0.0814560920849512
"36",55,0.122425607028391
"37",56,0.381635561962133
"38",57,0.67472617409373
"39",58,0.993479065817321
"40",59,1.31036759684942
"41",60,1.53684527113133
"42",61,1.74205530478096
"43",62,1.75416630426013
"44",63,1.85794497489146
"45",64,1.70986149086696
"46",65,1.5532504600262
"47",66,1.51270230137592
"48",67,1.20676918263892
"49",68,1.05099355653719
"50",69,0.954157567645177
"51",70,0.694459385994124
"52",71,0.590350268766065
"53",72,0.411420933183889
"54",73,0.180523490401693
"55",74,0.0840936378861583
"56",75,0.0171628982646955
"57",76,-0.0995962684357756
"58",77,-0.168823265572786
"59",78,-0.175712038119436
"60",79,-0.260628899503796
"61",80,-0.300956703876371
"62",81,-0.319203710450255
"63",82,-0.314365742097893
"64",83,-0.295704626084101
"65",84,-0.257641968459383
"66",85,-0.238416955009166
"67",86,-0.0975380725274137
"68",87,0.0304184774114889
"69",88,0.0917392910757376
"70",89,0.312126963010459
"71",90,0.436887311386228
"72",91,0.543157851201118
"73",92,0.64120205750129
"74",93,0.762503398190981
"75",94,0.676320830618635
"76",95,0.705677570103028
"77",96,0.655518393363199
"78",97,0.624178242370055
"79",98,0.586268370979666
"80",99,0.48028752803093
"81",100,0.328501875993419
"82",101,0.268038971959407
"83",102,0.215955647035732
"84",103,0.074243130547891
"85",104,-0.0514745686945635
"86",105,-0.150938740804102
"87",106,-0.250024143796228
"88",107,-0.313863772663082
"89",108,-0.311997159004589
"90",109,-0.456285295198085
"91",110,-0.435560051606464
"92",111,-0.494888764018676
"93",112,-0.523423748084425
"94",113,-0.527280608395214
"95",114,-0.501208189693485
"96",115,-0.479174343955852
"97",116,-0.490375992964294
"98",117,-0.386623014162257
"99",118,-0.379687116102776
"100",119,-0.295761417244707
"101",120,-0.224338160399123
"102",121,-0.207863522176259
"103",122,-0.0674824443806712
"104",123,-0.0112342107011217
"105",124,0.00039411823570556
"106",125,0.00942712639502065
"107",126,0.0277227051838966
"108",127,0.0263364576370302
"109",128,0.0258632888210052
"110",129,0.00953667357989934
"111",130,-0.0430399195989192
"112",131,-0.14274262983151
"113",132,-0.171535195500276
"114",133,-0.28701929533514
"115",134,-0.323447431117817
"116",135,-0.348200604215205
"117",136,-0.476396407050956
"118",137,-0.522347548443206
"119",138,-0.566722503065417
"120",139,-0.642388498955884
"121",140,-0.69547396342528
"122",141,-0.709515694631465
"123",142,-0.771600959822684
"124",143,-0.774239144155146
"125",144,-0.746641207568173
"126",145,-0.842898923493197
"127",146,-0.795320354627082
"128",147,-0.709793066891325
"129",148,-0.816536945161886
"130",149,-0.725044014282915
"131",150,-0.684862483125848
"132",151,-0.636133315243722
"133",152,-0.601965704005026
"134",153,-0.593917065161853
"135",154,-0.585014954004165
"136",155,-0.518030541541908
"137",156,-0.46513375638774
"138",157,-0.487392380376352
"139",158,-0.532287579769769
"140",159,-0.411171268283791
"141",160,-0.537029884703449
"142",161,-0.552151570495856
"143",162,-0.521453461728616
"144",163,-0.653449848351682
"145",164,-0.696599026909202
"146",165,-0.676964152634515
"147",166,-0.78388684634193
"148",167,-0.772387809501299
"149",168,-0.831096069668349
"150",169,-0.873445250521548
"151",170,-0.880794869183992
"152",171,-0.925883947633739
"153",172,-0.993805582932609
"154",173,-0.989856999036296
"155",174,-1.02818077019961
"156",175,-1.0539447783042
"157",176,-1.06154326214149
"158",177,-1.07359330761747
"159",178,-1.07813676629346
"160",179,-1.09373941479535
"161",180,-1.07657323959688
"162",181,-1.05519804933421
"163",182,-1.09941450334386
"164",183,-1.05938250858293
"165",184,-1.11196782200205
"166",185,-1.00937222017767
"167",186,-1.00347541642215
"168",187,-1.03176786725585
"169",188,-0.98463894638274
"170",189,-0.972316993330822
"171",190,-0.999759526658343
"172",191,-1.05661608048917
"173",192,-1.02476132667264
"174",193,-1.06515842216996
"175",194,-1.08687015843241
"176",195,-1.12717449535174
"177",196,-1.15289764698619
"178",197,-1.22294459831189
"179",198,-1.23598569576248
"180",199,-1.21336945043047
"181",200,-1.26456081390031
